symbol,threshold,stop_loss_pct,is_ret,oos_ret,is_trades,oos_trades
600519,0.1,0.0,-1.4992623099999935,0.0685005999999877,63,37
600519,0.1,0.03,-1.3244703299999938,-0.03250364000001449,67,44
600519,0.1,0.05,-1.4968250500000058,-0.7191690900000047,65,41
600519,0.1,0.08,-1.4992623099999935,-0.041332339999999856,63,37
600519,0.1,0.1,-1.4992623099999935,-0.041332339999999856,63,37
600519,0.2,0.0,-4.347074409999996,-1.1365900200000056,32,17
600519,0.2,0.03,-3.351372050000001,-1.2166378199999994,43,21
600519,0.2,0.05,-3.1444720300000006,-1.8144267699999994,41,21
600519,0.2,0.08,-3.2401021099999983,-1.1365900200000056,39,17
600519,0.2,0.1,-3.1953807600000106,-1.1365900200000056,39,17
600519,0.3,0.0,0.7264290099999959,-1.126106250000003,12,13
600519,0.3,0.03,-0.8429058900000008,-1.533334180000001,17,16
600519,0.3,0.05,-0.9926609500000017,-1.9558572500000038,17,13
600519,0.3,0.08,-1.4125349499999995,-1.126106250000003,17,13
600519,0.3,0.1,-2.2726768299999978,-1.126106250000003,17,13
600519,0.4,0.0,0.22331603999998784,-1.5675957799999973,4,7
600519,0.4,0.03,0.22331603999998784,-2.0563491099999998,4,7
600519,0.4,0.05,0.22331603999998784,-2.397346779999998,4,7
600519,0.4,0.08,0.22331603999998784,-1.5675957799999973,4,7
600519,0.4,0.1,0.22331603999998784,-1.5675957799999973,4,7
600519,0.5,0.0,-2.0862194800000067,-2.0083219999999957,1,2
600519,0.5,0.03,-0.41791643999999906,-0.638633030000002,2,2
600519,0.5,0.05,-0.7343214900000006,-0.7576973000000042,2,2
600519,0.5,0.08,-1.3842264600000043,-1.256547600000002,2,2
600519,0.5,0.1,-1.5340814899999944,-1.4246971400000086,2,2
000858,0.1,0.0,-0.26848345000000107,-0.16532275000000762,67,37
000858,0.1,0.03,0.011644550000000642,-0.19740523000000287,74,41
000858,0.1,0.05,-0.06668760000000384,-0.17460618000000316,73,41
000858,0.1,0.08,-0.09761548000000175,-0.17460618000000316,71,41
000858,0.1,0.1,-0.052095669999996375,-0.17216656999999858,69,39
000858,0.2,0.0,-0.17701219999999296,-0.13114457999999773,32,15
000858,0.2,0.03,-0.14399033999999977,-0.1579208499999929,42,19
000858,0.2,0.05,-0.18774840000000959,-0.13114457999999773,42,15
000858,0.2,0.08,-0.21482179999999795,-0.13114457999999773,38,15
000858,0.2,0.1,-0.13251302999999215,-0.13114457999999773,36,15
000858,0.3,0.0,0.2122957399999903,-0.16742248000000126,12,13
000858,0.3,0.03,0.0066772200000064785,-0.16308763999999254,16,16
000858,0.3,0.05,0.02643413000000816,-0.16742248000000126,14,13
000858,0.3,0.08,-0.00865533999999668,-0.1488280600000058,14,13
000858,0.3,0.1,-0.035047420000000606,-0.1488280600000058,14,13
000858,0.4,0.0,0.03710977999999976,-0.11516279000000074,4,4
000858,0.4,0.03,0.0320113099999908,-0.08636997999998952,4,8
000858,0.4,0.05,0.03710977999999976,-0.04921474999999287,4,6
000858,0.4,0.08,0.03710977999999976,-0.08810307999999045,4,6
000858,0.4,0.1,0.03710977999999976,-0.11199590999999565,4,6
000858,0.5,0.0,-0.08747362000000036,-0.4316688899999921,1,2
000858,0.5,0.03,-0.05643059000000061,-0.04448508000000073,2,2
000858,0.5,0.05,-0.05643059000000061,-0.05998042999999509,2,2
000858,0.5,0.08,-0.10001750999999448,-0.10726624000000351,2,2
000858,0.5,0.1,-0.12001151000000654,-0.13085916000000752,2,2
AAPL,0.1,0.0,0.039747630000008805,0.89929203500001,51,48
AAPL,0.1,0.03,-0.014374915000003874,0.7542514600000105,58,52
AAPL,0.1,0.05,0.06444071000000218,0.7713787050000143,57,50
AAPL,0.1,0.08,0.11322557999999816,0.7713787050000143,51,50
AAPL,0.1,0.1,-0.0004403100000049953,0.7713787050000143,51,50
